id	url	source	notes
28	https://jobviewtrack.com/v2/yRNzj0x3SERdQOtFCyng65_aegJnKXxM8EQrf0MqaBRyH6DNidxqwMyx1f4XLVB1vtzY1Tm6X-c29ldkI6nJJJskDUdebrDF3lDB9oj2zmIO5CoFyJcNr0mN-1Ud59qsDIPJpCxwLUu_Khq2pnh97rsSbJt5Qzn73lX8Ke3e--GoWimu6yb6zgHMJo1jIX1ZetyuOrwf3MoH8OpGNJQA9IkLga_T11_SmBd_-0fn-hs	pipeline	AI / Machine Learning Engineer (Azure & Generative AI)
29	https://jobviewtrack.com/v2/rPlERiyLA2o0J5z3vP1ZifkK10oGBICA_YxsbfcHEaTAN5rWvKnJjKGtatUp6OdoHgpkE2nDhhsTigZXdTphbTAHMkOfZrMaRaHb6jQlFBf35f3y56Wu3XqIjrZ6MC8qWTYQcDMdWHi-BEykmjPDnqdxEDWYnUqx-jtsTTPTxfwy8__qfe3jTDaGiWkHIO21DwZDwHxQskiqF7wbbBtEPs7fTcTMlRQpLBOoywUmHm0	pipeline	Hot ITem Groep | Managed Services Data Engineer
30	https://jobviewtrack.com/v2/CQNNNwyqnvImm3LiL0MusL0b--eLZG8Zt-txr2aSFl1gpT_sgJROS70OfbbQR8gMRjpj70tFTynZrE-BtXXWUpbCKA6h6oI4nqTnBqe7Yr26J2LffQ390qJ6SNweqzmmpd3UrNkT6uIfGAbZqTDFM8XMPrD-L6iPH2ExJET2OoG5NNXbpXszA5Gd04F1xKmtjvg87aibne2Ivdf0czFhkHxq24q3QGWf5cNUgcfDfII	pipeline	Machine Learning Engineer for NATO with security clearance
31	https://jobviewtrack.com/v2/Dm4AmtFj4dqp2QR_h2EVEETsn1URKP5W6W2DEFhuXbLb3YP0oU99E7AuQK6N29vwdeo1i6tfzD9FOFq_AkW_n1t722mKqZe3ZfvkhNVp62hmSSh9XAI88wd7_K4i6u0usKM6SzRN6eH1lb--Ex8ZGepBvnygERjbJyHzgd8JF43SSH11OWozrhvV_nSxbS7_-WDX_z_G3KWshbajMc9ce32h9UEWj_RrPAkLdAjFZyI	pipeline	WLG Group | Machine Learning Engineer for NATO with security clearance
32	https://jobviewtrack.com/v2/L5mN8zKdBosgJgT9NOUHI8dJq-mJHfloXUuV-tN-n7sD51FGhk9ZIYco4g1s30wOkJ-_kchSMu1bYuuhdf8v9YYmBA8hDCm0ywLGDvZsGZtPALSdvTn4nABLx_WVKuJJ0aUhW-ArcNa0Zl_1JWkgLwGJka1u5XCBmrjjZaH4d6i5fgMgFhrUVI2HLu6btYxUl-Wj4r-PM_5VngwUvhy9uWaeHtehVmYuHiUY4h4TSiU	pipeline	Ivy Global | Kom ons helpen als AI Engineer
33	https://www.optimadata.nl/vacatures/ai-agent-engineer-ah-xeqrao_HESyo4/	pipeline	OptimaData | AI Agent Engineer
34	https://funle.nl/opdrachten/data-scientist-ai-agents_2cf9c	pipeline	Funle | Data Scientist – AI agents
35	https://www.werkzoeken.nl/vacature/15662619-junior-medior-ai-engineer-scale-up-eur67000-agentic-ai-genai-ai-libraries/	pipeline	Add Value IT Recruitment | Junior/Medior AI Engineer
36	local:jds/cegeka-ai-engineer.md	local	Cegeka | AI Engineer
37	local:jds/delft-university-of-technology-applied-ai-engineer.md	local	Delft University of Technology | Applied AI Engineer
38	local:jds/vbeyond-corporation-ai-architect.md	local	VBeyond Corporation | AI Architect
39	local:jds/kyndryl-ai-agent-developer.md	local	Kyndryl | AI Agent Developer
40	local:jds/deeploy-implementation-engineer-ai-governance.md	local	Deeploy | Implementation Engineer, AI Governance
41	local:jds/bol-ai-platform-engineer.md	local	bol | AI Platform Engineer
42	local:jds/ilionx-healthcare-ai-engineer.md	local	ilionx healthcare | AI Engineer
43	local:jds/vibe-academy-junior-ai-engineer.md	local	Vibe Academy | Junior AI Engineer
44	local:jds/iq-staffing-machine-learning-engineer-ai.md	local	IQ Staffing | Machine Learning Engineer (AI)
45	local:jds/fellowmind-ai-engineer.md	local	Fellowmind | AI Engineer
46	local:jds/cribconnects-ai-engineer.md	local	CribConnects | AI Engineer
47	local:jds/brainbay-junior-data-scientist.md	local	brainbay | Junior Data Scientist
48	local:jds/levy-search-ai-data-scientist.md	local	Levy Search | AI Data Scientist
49	local:jds/igh-medior-data-scientist.md	local	IG&H | Medior Data Scientist
50	local:jds/action-data-scientist-operations-research.md	local	Action | Data Scientist - Operations Research
51	local:jds/atos-mid-level-ai-engineer.md	local	Atos | Mid-level AI engineer
52	local:jds/imc-trading-machine-learning-engineer.md	local	IMC Trading | Machine Learning Engineer
53	local:jds/corendon-data-scientist.md	local	Corendon | Data Scientist
54	local:jds/tesla-associate-engineer-automation-and-ai-tools-industrial-energy-emea.md	local	Tesla | Associate Engineer, Automation and AI Tools, Industrial Energy, EMEA
55	local:jds/certify360-edtech-group-ai-builder-procesoptimalisatie-backoffice.md	local	Certify360 EdTech Group | AI-builder Procesoptimalisatie Backoffice
56	local:jds/certify360-edtech-group-junior-data-ai-engineer.md	local	Certify360 EdTech Group | Junior Data & AI Engineer
57	local:jds/amsterdam-data-collective-consultant-data-engineer.md	local	Amsterdam Data Collective | Consultant
58	local:jds/xebia-fabric-data-engineer-cross-skilling-program.md	local	XEBIA | Fabric Data Engineer - Cross Skilling Program
59	local:jds/surf-teamhoofd-high-performance-machine-learning.md	local	SURF | Teamhoofd High Performance Machine Learning
60	local:jds/nn-group-vacature-servicenow-developer-risk-security-ai-governance-view-vacancy.md	local	NN GROUP | Vacature: ServiceNow Developer (Risk, Security & AI Governance) - View vacancy
61	local:jds/strukton-ai-specialist.md	local	Strukton | AI Specialist
62	local:jds/ictrecht-jurist-gezondheidsrecht-technologie-ai.md	local	ICTRecht | Jurist Gezondheidsrecht, Technologie & AI
63	local:jds/rijksvastgoedbedrijf-rvb-coordinator-ai-governance-innovatie.md	local	Rijksvastgoedbedrijf (RVB) | Coördinator AI Governance & Innovatie
64	local:jds/apg-devops-engineer-self-service-data-science.md	local	APG | DevOps Engineer Self Service & Data Science
65	local:jds/project-interim-advies-adviseur-ai-strategie-24-32-uur.md	local	Project Interim Advies | Adviseur AI-strategie (24-32 uur)
66	local:jds/ing-data-scientist-business-banking-nl.md	local	ING | Data scientist Business Banking NL
67	local:jds/rotterdam-world-gateway-rwg-data-scientist.md	local	Rotterdam World Gateway (RWG) | Data Scientist
68	local:jds/imc-machine-learning-engineer.md	local	IMC | Machine Learning Engineer
69	https://www.werk.nl/nl/vacatures/69556220	pipeline	We Match People | Machine Learning Engineer
70	https://www.werk.nl/nl/vacatures/69706282	pipeline	Hot ITem | AI Engineer
71	https://jobs.ashbyhq.com/scale%20army%20careers/f1afb5ab-24e7-4ff6-99e5-f0cb3794a3ae	pipeline	Scale Army | AI Engineer · Remote · ⚠️ staffing agency (verify direct employer)
72	https://jobs.ashbyhq.com/aim4hire/8e955fa6-9164-483d-a190-33520c9b9250	pipeline	Aim4Hire | AI Engineer · Remote · ⚠️ staffing agency; JD reportedly 8+yr backend (may skew senior)
73	https://euremotejobs.com/job/ai-software-solutions-architect-remote-contract-2/	pipeline	(unnamed) | AI & Software Solutions Architect · Remote EU · ⚠️ CONTRACT, company unnamed
74	https://jobs.ashbyhq.com/reflow/cd4b3752-b07d-4c33-acb3-169a3562d71a	pipeline	Reflow | AI Engineer · location unknown
75	https://jobs.ashbyhq.com/eigen-labs/c02fa001-23c9-4d68-8c0a-e27a742d76a4	pipeline	Eigen Labs | Agentic AI Engineer · location unknown · ⚠️ crypto (EigenLayer)
76	https://job-boards.greenhouse.io/dv01/jobs/8416034002	pipeline	dv01 | AI/MLOps Platform Engineer · location unknown · likely US remote-first
77	https://www.workatastartup.com/jobs/89099	pipeline	ShipBob | Applied AI Engineer, Agentic Systems · location unknown · likely US
78	https://www.workatastartup.com/jobs/94746	pipeline	Infer | Applied AI Engineer · location unknown (YC)
79	https://www.workatastartup.com/jobs/85043	pipeline	Contrario | Applied AI Engineer · location unknown (YC)
80	https://www.workatastartup.com/jobs/80475	pipeline	Conduit | AI Engineer · location unknown (YC)
81	https://www.workatastartup.com/jobs/86442	pipeline	Karumi | AI/ML Applied Engineer · location unknown (YC)
